,T_min,T_max,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**4.0,T**(-9.0),S3,S4,T**(-3.0),T**(-2.0),T**7.0,S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
169,298.150000000000,1234.93000000000,-1754026.11200000,-612561.000000000,6028.30266300000,-0.0913198350000000,-2.03279370000000e-5,-1216.16290140000,AG51LA14,AG,LA,,,,,,,,,,,
170,,,0,,,,,,AG51LA14,AG,LA,,,,,,,,,,,
171,550.000000000000,2000.00000000000,-1433680.78200000,-5592272.00000000,826.855820000000,-0.117203870000000,9.65048000000000e-6,-240.323175400000,AG51LA14,AG,LA,,,,,,,,,,,
172,2000.00000000000,4000.00000000000,-1604865.34800000,,2539.46099400000,,,-480.323200000000,AG51LA14,AG,LA,,,,,,,,,,,
173,1234.93000000000,3000.00000000000,-2156198.85200000,,9703.58660400000,,,-1707.07200000000,AG51LA14,AG,LA,,7.20004230000000e+30,,,,,,,,,
174,298.150000000000,900.000000000000,-19606.6299500000,7500.70500000000,24.0050138500000,0.000119566875000000,-5.78844500000000e-7,-5.82344700000000,AG51ND14,AG,ND,,,,,,,,,,,
175,,,0,,,,,,AG51ND14,AG,ND,,,,,,,,,,,
176,1234.93000000000,3000.00000000000,-29649.7728200000,,149.477127140000,,,-26.2755200000000,AG51ND14,AG,ND,,1.10824180500000e+29,,,,,,,,,
177,900.000000000000,1128.00000000000,-19301.5778450000,,18.1054626550000,-0.000903864300000000,-3.87430000000000e-7,-4.89202400000000,AG51ND14,AG,ND,,,,,,,,,,,
178,1128.00000000000,1799.00000000000,-66306.3318900000,8344225.25000000,359.821761035000,0.0169024393550000,-1.30036450500000e-6,-51.2093177595000,AG51ND14,AG,ND,,,,,,,,,,,
179,1799.00000000000,1800.00000000000,-23334.6011650000,,59.5132739200000,,,-10.4888610000000,AG51ND14,AG,ND,,,,,,,,,,,
180,298.150000000000,1234.93000000000,-1861450.11200000,-612561.000000000,6028.30266300000,-0.0913198350000000,-2.03279370000000e-5,-1216.16290140000,AG51Y14,AG,Y,,,,,,,,,,,
181,,,0,,,,,,AG51Y14,AG,Y,,,,,,,,,,,
182,1000.00000000000,1795.15000000000,-1594281.44036000,,1602.95945600000,-0.0534965228000000,-1.15548347600000e-6,-328.918557800000,AG51Y14,AG,Y,,,,,,,,,,,
183,1795.15000000000,3700.00000000000,-2438495.86540000,253080276.400000,5349.74617800000,0.0324484130600000,-1.01151832320000e-6,-797.337955400000,AG51Y14,AG,Y,,,,,,,,,,,
184,1234.93000000000,3000.00000000000,-2263622.85200000,,9703.58660400000,,,-1707.07200000000,AG51Y14,AG,Y,,7.20004230000000e+30,,,,,,,,,
185,298.150000000000,6000.00000000000,-120964.020000000,645825.000000000,824.789725000000,-0.0107843250000000,-1.99303000000000e-6,-162.120657000000,AG5BA,AG,BA,,,,,,,,,,,
186,,,0,,,,,,AG5BA,AG,BA,,,,,,,,,,,
187,298.150000000000,1234.93000000000,-160753.560000000,-60055.0000000000,591.010065000000,-0.00895292500000000,-1.99293500000000e-6,-119.231657000000,AG5LA_C14,AG,LA,,,,,,,,,,,
188,,,0,,,,,,AG5LA_C14,AG,LA,,,,,,,,,,,
189,550.000000000000,2000.00000000000,-128087.413000000,-399448.000000000,59.0611300000000,-0.00837170500000000,6.89320000000000e-7,-17.1659411000000,AG5LA_C14,AG,LA,,,,,,,,,,,
190,2000.00000000000,4000.00000000000,-140314.882000000,,181.390071000000,,,-34.3088000000000,AG5LA_C14,AG,LA,,,,,,,,,,,
